registrikood,tegevusala,alguskuupaev,loppkuupaev,staatus,allikas
17228977,Toitlustamine,21.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17210977,Toitlustamine,21.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17143071,Toitlustamine,21.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17247638,Toitlustamine,21.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17213303,Jaekaubandus,21.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17202268,Toitlustamine,20.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14844316,Toitlustamine,19.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17229132,Jaekaubandus,18.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17184205,Töövahendus,18.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17184205,Renditööjőu vahendamine,18.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17229132,Toitlustamine,18.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14711236,Jaekaubandus,17.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14100047,Renditööjőu vahendamine,16.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17254199,Toitlustamine,16.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17063698,Renditööjőu vahendamine,15.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17063698,Töövahendus,15.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11008134,Toitlustamine,15.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16180694,Gaasi müük,14.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16728287,Gaasi müük,14.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80595289,Jaekaubandus,14.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80595289,Toitlustamine,14.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17281687,Toitlustamine,14.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
74001073,Jaekaubandus,14.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12832786,Toitlustamine,13.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17255879,Jaekaubandus,13.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14035663,Jaekaubandus,11.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17274598,Toitlustamine,11.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17279816,Toitlustamine,11.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80561095,Toitlustamine,11.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16980450,Tellitav audiovisuaalmeedia teenus,10.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12232253,Toitlustamine,10.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17151803,Jaekaubandus,09.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16893595,Toitlustamine,08.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10397843,Renditööjőu vahendamine,08.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16730373,Toitlustamine,08.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17267471,Toitlustamine,08.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10224321,Renditööjőu vahendamine,08.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12196089,Toitlustamine,07.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17161405,Renditööjőu vahendamine,05.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16936132,Toitlustamine,05.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16936132,Jaekaubandus,05.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11532881,Toitlustamine,04.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10736133,Jaekaubandus,04.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10736133,Hulgikaubandus,04.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17236244,Toitlustamine,04.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17227280,Toitlustamine,03.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17093997,Toitlustamine,03.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
44834685,Elektrienergia müük,03.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17268540,Jaekaubandus,03.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12409243,Töövahendus,02.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14270588,Toitlustamine,02.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12618969,Renditööjőu vahendamine,02.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
90010388,Hulgikaubandus,01.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80259290,Toitlustamine,01.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
90010388,Jaekaubandus,01.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14768801,Toitlustamine,01.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16980450,Videojagamisplatvormi teenus,01.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17272524,Töövahendus,01.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16080372,Toitlustamine,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17235440,Renditööjőu vahendamine,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14438906,Jaekaubandus,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14438906,Toitlustamine,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12462295,Jaekaubandus,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17138043,Toitlustamine,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14190702,Muusikateoste internetis kasutamise őiguste teostamine,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17223017,Hulgikaubandus,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17173561,Jaekaubandus,30.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16646454,Hulgikaubandus,29.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17233464,Toitlustamine,29.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16646454,Jaekaubandus,29.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16560184,Jaekaubandus,29.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16560184,Hulgikaubandus,29.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16705435,Renditööjőu vahendamine,27.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17263904,Toitlustamine,27.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17266726,Toitlustamine,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16712174,Toitlustamine,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16840877,Toitlustamine,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17266726,Hulgikaubandus,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17154411,Jaekaubandus,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17200105,Toitlustamine,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14743124,Merendus,26.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17151269,Toitlustamine,25.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16998704,Toitlustamine,25.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80131176,Toitlustamine,25.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16894169,Hulgikaubandus,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12548683,Jaekaubandus,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16452276,Jaekaubandus,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17141064,Jaekaubandus,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14884283,Toitlustamine,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80183658,Toitlustamine,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16770421,Toitlustamine,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16832228,Jaekaubandus,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16832228,Hulgikaubandus,19.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11704394,Jaekaubandus,18.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17232312,Toitlustamine,18.06.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
